grpp19@j6:~/FindKNN-MPI$ mpirun -np 4 knn-mpi 128 400000 300 1024
Discrepância encontrada no índice 108: calculado=317198, esperado=197949
Discrepância encontrada no índice 109: calculado=398989, esperado=291369
Discrepância encontrada no índice 110: calculado=399571, esperado=327950
Discrepância encontrada no índice 111: calculado=399248, esperado=345536
Discrepância encontrada no índice 112: calculado=84633, esperado=321212
Discrepância encontrada no índice 113: calculado=317198, esperado=197949
Discrepância encontrada no índice 114: calculado=398989, esperado=291369
Discrepância encontrada no índice 115: calculado=399571, esperado=327950
Discrepância encontrada no índice 116: calculado=399248, esperado=345536
Discrepância encontrada no índice 117: calculado=84633, esperado=321212
Discrepância encontrada no índice 118: calculado=317198, esperado=197949
Discrepância encontrada no índice 119: calculado=398989, esperado=291369
Discrepância encontrada no índice 120: calculado=399571, esperado=327950
Discrepância encontrada no índice 121: calculado=399248, esperado=345536
Discrepância encontrada no índice 122: calculado=84633, esperado=321212
Discrepância encontrada no índice 123: calculado=317198, esperado=197949
Discrepância encontrada no índice 124: calculado=398989, esperado=291369
Discrepância encontrada no índice 125: calculado=399571, esperado=327950
Discrepância encontrada no índice 126: calculado=399248, esperado=345536
Discrepância encontrada no índice 127: calculado=84633, esperado=321212
Discrepância encontrada no índice 128: calculado=317198, esperado=197949
Discrepância encontrada no índice 129: calculado=398989, esperado=291369
Discrepância encontrada no índice 130: calculado=399571, esperado=327950
Discrepância encontrada no índice 131: calculado=399248, esperado=345536
Discrepância encontrada no índice 132: calculado=84633, esperado=321212
Discrepância encontrada no índice 133: calculado=317198, esperado=197949
Discrepância encontrada no índice 134: calculado=398989, esperado=291369
Discrepância encontrada no índice 135: calculado=399571, esperado=327950
Discrepância encontrada no índice 136: calculado=399248, esperado=345536
Discrepância encontrada no índice 137: calculado=84633, esperado=321212
Discrepância encontrada no índice 138: calculado=317198, esperado=197949
Discrepância encontrada no índice 139: calculado=398989, esperado=291369
Discrepância encontrada no índice 140: calculado=399571, esperado=327950
Discrepância encontrada no índice 141: calculado=399248, esperado=345536
Discrepância encontrada no índice 142: calculado=84633, esperado=321212
Discrepância encontrada no índice 143: calculado=317198, esperado=197949
Discrepância encontrada no índice 144: calculado=398989, esperado=291369
Discrepância encontrada no índice 145: calculado=399571, esperado=327950
Discrepância encontrada no índice 146: calculado=399248, esperado=345536
Discrepância encontrada no índice 147: calculado=84633, esperado=321212
Discrepância encontrada no índice 148: calculado=317198, esperado=197949
Discrepância encontrada no índice 149: calculado=398989, esperado=291369
Discrepância encontrada no índice 150: calculado=399571, esperado=327950
Discrepância encontrada no índice 151: calculado=399248, esperado=345536
Discrepância encontrada no índice 152: calculado=84633, esperado=321212
Discrepância encontrada no índice 153: calculado=317198, esperado=197949
Discrepância encontrada no índice 154: calculado=398989, esperado=291369
Discrepância encontrada no índice 155: calculado=399571, esperado=327950
Discrepância encontrada no índice 156: calculado=399248, esperado=345536
Discrepância encontrada no índice 157: calculado=84633, esperado=321212
Discrepância encontrada no índice 158: calculado=317198, esperado=197949
Discrepância encontrada no índice 159: calculado=398989, esperado=291369
Discrepância encontrada no índice 160: calculado=399571, esperado=327950
Discrepância encontrada no índice 161: calculado=399248, esperado=345536
Discrepância encontrada no índice 162: calculado=84633, esperado=321212
Discrepância encontrada no índice 163: calculado=317198, esperado=197949
Discrepância encontrada no índice 164: calculado=398989, esperado=291369
Discrepância encontrada no índice 165: calculado=399571, esperado=327950
Discrepância encontrada no índice 166: calculado=399248, esperado=345536
Discrepância encontrada no índice 167: calculado=84633, esperado=321212
Discrepância encontrada no índice 168: calculado=317198, esperado=197949
Discrepância encontrada no índice 169: calculado=398989, esperado=291369
Discrepância encontrada no índice 170: calculado=399571, esperado=327950
Discrepância encontrada no índice 171: calculado=399248, esperado=345536
Discrepância encontrada no índice 172: calculado=84633, esperado=321212
Discrepância encontrada no índice 173: calculado=317198, esperado=197949
Discrepância encontrada no índice 174: calculado=398989, esperado=291369
Discrepância encontrada no índice 175: calculado=399571, esperado=327950
Discrepância encontrada no índice 176: calculado=399248, esperado=345536
Discrepância encontrada no índice 177: calculado=84633, esperado=321212
Discrepância encontrada no índice 178: calculado=317198, esperado=197949
Discrepância encontrada no índice 179: calculado=398989, esperado=291369
Discrepância encontrada no índice 180: calculado=399571, esperado=327950
Discrepância encontrada no índice 181: calculado=399248, esperado=345536
Discrepância encontrada no índice 182: calculado=84633, esperado=321212
Discrepância encontrada no índice 183: calculado=317198, esperado=197949
Discrepância encontrada no índice 184: calculado=398989, esperado=291369
Discrepância encontrada no índice 185: calculado=399571, esperado=327950
Discrepância encontrada no índice 186: calculado=399248, esperado=345536
Discrepância encontrada no índice 187: calculado=84633, esperado=321212
Discrepância encontrada no índice 188: calculado=317198, esperado=197949
Discrepância encontrada no índice 189: calculado=398989, esperado=291369
Discrepância encontrada no índice 190: calculado=399571, esperado=327950
Discrepância encontrada no índice 191: calculado=399248, esperado=345536
Discrepância encontrada no índice 192: calculado=84633, esperado=321212
Discrepância encontrada no índice 193: calculado=317198, esperado=197949
Discrepância encontrada no índice 194: calculado=398989, esperado=291369
Discrepância encontrada no índice 195: calculado=399571, esperado=327950
Discrepância encontrada no índice 196: calculado=399248, esperado=345536
Discrepância encontrada no índice 197: calculado=84633, esperado=321212
Discrepância encontrada no índice 198: calculado=317198, esperado=197949
Discrepância encontrada no índice 199: calculado=398989, esperado=291369
Discrepância encontrada no índice 200: calculado=399571, esperado=327950
Discrepância encontrada no índice 201: calculado=399248, esperado=345536
Discrepância encontrada no índice 202: calculado=84633, esperado=321212
Discrepância encontrada no índice 203: calculado=317198, esperado=197949
Discrepância encontrada no índice 204: calculado=398989, esperado=291369
Discrepância encontrada no índice 205: calculado=399571, esperado=327950
Discrepância encontrada no índice 206: calculado=399248, esperado=345536
Discrepância encontrada no índice 207: calculado=84633, esperado=321212
Discrepância encontrada no índice 208: calculado=317198, esperado=197949
Discrepância encontrada no índice 209: calculado=398989, esperado=291369
Discrepância encontrada no índice 210: calculado=399571, esperado=327950
Discrepância encontrada no índice 211: calculado=399248, esperado=345536
Discrepância encontrada no índice 212: calculado=84633, esperado=321212
Discrepância encontrada no índice 213: calculado=317198, esperado=197949
Discrepância encontrada no índice 214: calculado=398989, esperado=291369
Discrepância encontrada no índice 215: calculado=399571, esperado=327950
Discrepância encontrada no índice 216: calculado=399248, esperado=345536
Discrepância encontrada no índice 217: calculado=84633, esperado=321212
Discrepância encontrada no índice 218: calculado=317198, esperado=197949
Discrepância encontrada no índice 219: calculado=398989, esperado=291369
Discrepância encontrada no índice 220: calculado=399571, esperado=327950
Discrepância encontrada no índice 221: calculado=399248, esperado=345536
Discrepância encontrada no índice 222: calculado=84633, esperado=321212
Discrepância encontrada no índice 223: calculado=317198, esperado=197949
Discrepância encontrada no índice 224: calculado=398989, esperado=291369
Discrepância encontrada no índice 225: calculado=399571, esperado=327950
Discrepância encontrada no índice 226: calculado=399248, esperado=345536
Discrepância encontrada no índice 227: calculado=84633, esperado=321212
Discrepância encontrada no índice 228: calculado=317198, esperado=197949
Discrepância encontrada no índice 229: calculado=398989, esperado=291369
Discrepância encontrada no índice 230: calculado=399571, esperado=327950
Discrepância encontrada no índice 231: calculado=399248, esperado=345536
Discrepância encontrada no índice 232: calculado=84633, esperado=321212
Discrepância encontrada no índice 233: calculado=317198, esperado=197949
Discrepância encontrada no índice 234: calculado=398989, esperado=291369
Discrepância encontrada no índice 235: calculado=399571, esperado=327950
Discrepância encontrada no índice 236: calculado=399248, esperado=345536
Discrepância encontrada no índice 237: calculado=84633, esperado=321212
Discrepância encontrada no índice 238: calculado=317198, esperado=197949
Discrepância encontrada no índice 239: calculado=398989, esperado=291369
Discrepância encontrada no índice 240: calculado=399571, esperado=327950
Discrepância encontrada no índice 241: calculado=399248, esperado=345536
Discrepância encontrada no índice 242: calculado=84633, esperado=321212
Discrepância encontrada no índice 243: calculado=317198, esperado=197949
Discrepância encontrada no índice 244: calculado=398989, esperado=291369
Discrepância encontrada no índice 245: calculado=399571, esperado=327950
Discrepância encontrada no índice 246: calculado=399248, esperado=345536
Discrepância encontrada no índice 247: calculado=84633, esperado=321212
Discrepância encontrada no índice 248: calculado=317198, esperado=197949
Discrepância encontrada no índice 249: calculado=398989, esperado=291369
Discrepância encontrada no índice 250: calculado=399571, esperado=327950
Discrepância encontrada no índice 251: calculado=399248, esperado=345536
Discrepância encontrada no índice 252: calculado=84633, esperado=321212
Discrepância encontrada no índice 253: calculado=317198, esperado=197949
Discrepância encontrada no índice 254: calculado=398989, esperado=291369
Discrepância encontrada no índice 255: calculado=399571, esperado=327950
Discrepância encontrada no índice 256: calculado=399248, esperado=345536
Discrepância encontrada no índice 257: calculado=84633, esperado=321212
Discrepância encontrada no índice 258: calculado=317198, esperado=197949
Discrepância encontrada no índice 259: calculado=398989, esperado=291369
Discrepância encontrada no índice 260: calculado=399571, esperado=327950
Discrepância encontrada no índice 261: calculado=399248, esperado=345536
Discrepância encontrada no índice 262: calculado=84633, esperado=321212
Discrepância encontrada no índice 263: calculado=317198, esperado=197949
Discrepância encontrada no índice 264: calculado=398989, esperado=291369
Discrepância encontrada no índice 265: calculado=399571, esperado=327950
Discrepância encontrada no índice 266: calculado=399248, esperado=345536
Discrepância encontrada no índice 267: calculado=84633, esperado=321212
Discrepância encontrada no índice 268: calculado=317198, esperado=197949
Discrepância encontrada no índice 269: calculado=398989, esperado=291369
Discrepância encontrada no índice 270: calculado=399571, esperado=327950
Discrepância encontrada no índice 271: calculado=399248, esperado=345536
Discrepância encontrada no índice 272: calculado=84633, esperado=321212
Discrepância encontrada no índice 273: calculado=317198, esperado=197949
Discrepância encontrada no índice 274: calculado=398989, esperado=291369
Discrepância encontrada no índice 275: calculado=399571, esperado=327950
Discrepância encontrada no índice 276: calculado=399248, esperado=345536
Discrepância encontrada no índice 277: calculado=84633, esperado=321212
Discrepância encontrada no índice 278: calculado=317198, esperado=197949
Discrepância encontrada no índice 279: calculado=398989, esperado=291369
Discrepância encontrada no índice 280: calculado=399571, esperado=327950
Discrepância encontrada no índice 281: calculado=399248, esperado=345536
Discrepância encontrada no índice 282: calculado=84633, esperado=321212
Discrepância encontrada no índice 283: calculado=317198, esperado=197949
Discrepância encontrada no índice 284: calculado=398989, esperado=291369
Discrepância encontrada no índice 285: calculado=399571, esperado=327950
Discrepância encontrada no índice 286: calculado=399248, esperado=345536
Discrepância encontrada no índice 287: calculado=84633, esperado=321212
Discrepância encontrada no índice 288: calculado=317198, esperado=197949
Discrepância encontrada no índice 289: calculado=398989, esperado=291369
Discrepância encontrada no índice 290: calculado=399571, esperado=327950
Discrepância encontrada no índice 291: calculado=399248, esperado=345536
Discrepância encontrada no índice 292: calculado=84633, esperado=321212
Discrepância encontrada no índice 293: calculado=317198, esperado=197949
Discrepância encontrada no índice 294: calculado=398989, esperado=291369
Discrepância encontrada no índice 295: calculado=399571, esperado=327950
Discrepância encontrada no índice 296: calculado=399248, esperado=345536
Discrepância encontrada no índice 297: calculado=84633, esperado=321212
Discrepância encontrada no índice 298: calculado=317198, esperado=197949
Discrepância encontrada no índice 299: calculado=398989, esperado=291369
Discrepância encontrada no índice 300: calculado=399571, esperado=327950
Discrepância encontrada no índice 301: calculado=399248, esperado=345536
Discrepância encontrada no índice 302: calculado=84633, esperado=321212
Discrepância encontrada no índice 303: calculado=317198, esperado=197949
Discrepância encontrada no índice 304: calculado=398989, esperado=291369
Discrepância encontrada no índice 305: calculado=399571, esperado=327950
Discrepância encontrada no índice 306: calculado=399248, esperado=345536
Discrepância encontrada no índice 307: calculado=84633, esperado=321212
Discrepância encontrada no índice 308: calculado=317198, esperado=197949
Discrepância encontrada no índice 309: calculado=398989, esperado=291369
Discrepância encontrada no índice 310: calculado=399571, esperado=327950
Discrepância encontrada no índice 311: calculado=399248, esperado=345536
Discrepância encontrada no índice 312: calculado=84633, esperado=321212
Discrepância encontrada no índice 313: calculado=317198, esperado=197949
Discrepância encontrada no índice 314: calculado=398989, esperado=291369
Discrepância encontrada no índice 315: calculado=399571, esperado=327950
Discrepância encontrada no índice 316: calculado=399248, esperado=345536
Discrepância encontrada no índice 317: calculado=84633, esperado=321212
Discrepância encontrada no índice 318: calculado=317198, esperado=197949
Discrepância encontrada no índice 319: calculado=398989, esperado=291369
Discrepância encontrada no índice 320: calculado=399571, esperado=327950
Discrepância encontrada no índice 321: calculado=399248, esperado=345536
Discrepância encontrada no índice 322: calculado=84633, esperado=321212
Discrepância encontrada no índice 323: calculado=317198, esperado=197949
Discrepância encontrada no índice 324: calculado=398989, esperado=291369
Discrepância encontrada no índice 325: calculado=399571, esperado=327950
Discrepância encontrada no índice 326: calculado=399248, esperado=345536
Discrepância encontrada no índice 327: calculado=84633, esperado=321212
Discrepância encontrada no índice 328: calculado=317198, esperado=197949
Discrepância encontrada no índice 329: calculado=398989, esperado=291369
Discrepância encontrada no índice 330: calculado=399571, esperado=327950
Discrepância encontrada no índice 331: calculado=399248, esperado=345536
Discrepância encontrada no índice 332: calculado=84633, esperado=321212
Discrepância encontrada no índice 333: calculado=317198, esperado=197949
Discrepância encontrada no índice 334: calculado=398989, esperado=291369
Discrepância encontrada no índice 335: calculado=399571, esperado=327950
Discrepância encontrada no índice 336: calculado=399248, esperado=345536
Discrepância encontrada no índice 337: calculado=84633, esperado=321212
Discrepância encontrada no índice 338: calculado=317198, esperado=197949
Discrepância encontrada no índice 339: calculado=398989, esperado=291369
Discrepância encontrada no índice 340: calculado=399571, esperado=327950
Discrepância encontrada no índice 341: calculado=399248, esperado=345536
Discrepância encontrada no índice 342: calculado=84633, esperado=321212
Discrepância encontrada no índice 343: calculado=317198, esperado=197949
Discrepância encontrada no índice 344: calculado=398989, esperado=291369
Discrepância encontrada no índice 345: calculado=399571, esperado=327950
Discrepância encontrada no índice 346: calculado=399248, esperado=345536
Discrepância encontrada no índice 347: calculado=84633, esperado=321212
Discrepância encontrada no índice 348: calculado=317198, esperado=197949
Discrepância encontrada no índice 349: calculado=398989, esperado=291369
Discrepância encontrada no índice 350: calculado=399571, esperado=327950
Discrepância encontrada no índice 351: calculado=399248, esperado=345536
Discrepância encontrada no índice 352: calculado=84633, esperado=321212
Discrepância encontrada no índice 353: calculado=317198, esperado=197949
Discrepância encontrada no índice 354: calculado=398989, esperado=291369
Discrepância encontrada no índice 355: calculado=399571, esperado=327950
Discrepância encontrada no índice 356: calculado=399248, esperado=345536
Discrepância encontrada no índice 357: calculado=84633, esperado=321212
Discrepância encontrada no índice 358: calculado=317198, esperado=197949
Discrepância encontrada no índice 359: calculado=398989, esperado=291369
Discrepância encontrada no índice 360: calculado=399571, esperado=327950
Discrepância encontrada no índice 361: calculado=399248, esperado=345536
Discrepância encontrada no índice 362: calculado=84633, esperado=321212
Discrepância encontrada no índice 363: calculado=317198, esperado=197949
Discrepância encontrada no índice 364: calculado=398989, esperado=291369
Discrepância encontrada no índice 365: calculado=399571, esperado=327950
Discrepância encontrada no índice 366: calculado=399248, esperado=345536
Discrepância encontrada no índice 367: calculado=84633, esperado=321212
Discrepância encontrada no índice 368: calculado=317198, esperado=197949
Discrepância encontrada no índice 369: calculado=398989, esperado=291369
Discrepância encontrada no índice 370: calculado=399571, esperado=327950
Discrepância encontrada no índice 371: calculado=399248, esperado=345536
Discrepância encontrada no índice 372: calculado=84633, esperado=321212
Discrepância encontrada no índice 373: calculado=317198, esperado=197949
Discrepância encontrada no índice 374: calculado=398989, esperado=291369
Discrepância encontrada no índice 375: calculado=399571, esperado=327950
Discrepância encontrada no índice 376: calculado=399248, esperado=345536
Discrepância encontrada no índice 377: calculado=84633, esperado=321212
Discrepância encontrada no índice 378: calculado=317198, esperado=197949
Discrepância encontrada no índice 379: calculado=398989, esperado=291369
Discrepância encontrada no índice 380: calculado=399571, esperado=327950
Discrepância encontrada no índice 381: calculado=399248, esperado=345536
Discrepância encontrada no índice 382: calculado=84633, esperado=321212
Discrepância encontrada no índice 383: calculado=317198, esperado=197949
Discrepância encontrada no índice 384: calculado=398989, esperado=291369
Discrepância encontrada no índice 385: calculado=399571, esperado=327950
Discrepância encontrada no índice 386: calculado=399248, esperado=345536
Discrepância encontrada no índice 387: calculado=84633, esperado=321212
Discrepância encontrada no índice 388: calculado=317198, esperado=197949
Discrepância encontrada no índice 389: calculado=398989, esperado=291369
Discrepância encontrada no índice 390: calculado=399571, esperado=327950
Discrepância encontrada no índice 391: calculado=399248, esperado=345536
Discrepância encontrada no índice 392: calculado=84633, esperado=321212
Discrepância encontrada no índice 393: calculado=317198, esperado=197949
Discrepância encontrada no índice 394: calculado=398989, esperado=291369
Discrepância encontrada no índice 395: calculado=399571, esperado=327950
Discrepância encontrada no índice 396: calculado=399248, esperado=345536
Discrepância encontrada no índice 397: calculado=84633, esperado=321212
Discrepância encontrada no índice 398: calculado=317198, esperado=197949
Discrepância encontrada no índice 399: calculado=398989, esperado=291369
Discrepância encontrada no índice 400: calculado=399571, esperado=327950
Discrepância encontrada no índice 401: calculado=399248, esperado=345536
Discrepância encontrada no índice 402: calculado=84633, esperado=321212
Discrepância encontrada no índice 403: calculado=317198, esperado=197949
Discrepância encontrada no índice 404: calculado=398989, esperado=291369
Discrepância encontrada no índice 405: calculado=399571, esperado=327950
Discrepância encontrada no índice 406: calculado=399248, esperado=345536
Discrepância encontrada no índice 407: calculado=84633, esperado=321212
Discrepância encontrada no índice 408: calculado=317198, esperado=197949
Discrepância encontrada no índice 409: calculado=398989, esperado=291369
Discrepância encontrada no índice 410: calculado=399571, esperado=327950
Discrepância encontrada no índice 411: calculado=399248, esperado=345536
Discrepância encontrada no índice 412: calculado=84633, esperado=321212
Discrepância encontrada no índice 413: calculado=317198, esperado=197949
Discrepância encontrada no índice 414: calculado=398989, esperado=291369
Discrepância encontrada no índice 415: calculado=399571, esperado=327950
Discrepância encontrada no índice 416: calculado=399248, esperado=345536
Discrepância encontrada no índice 417: calculado=84633, esperado=321212
Discrepância encontrada no índice 418: calculado=317198, esperado=197949
Discrepância encontrada no índice 419: calculado=398989, esperado=291369
Discrepância encontrada no índice 420: calculado=399571, esperado=327950
Discrepância encontrada no índice 421: calculado=399248, esperado=345536
Discrepância encontrada no índice 422: calculado=84633, esperado=321212
Discrepância encontrada no índice 423: calculado=317198, esperado=197949
Discrepância encontrada no índice 424: calculado=398989, esperado=291369
Discrepância encontrada no índice 425: calculado=399571, esperado=327950
Discrepância encontrada no índice 426: calculado=399248, esperado=345536
Discrepância encontrada no índice 427: calculado=84633, esperado=321212
Discrepância encontrada no índice 428: calculado=317198, esperado=197949
Discrepância encontrada no índice 429: calculado=398989, esperado=291369
Discrepância encontrada no índice 430: calculado=399571, esperado=327950
Discrepância encontrada no índice 431: calculado=399248, esperado=345536
Discrepância encontrada no índice 432: calculado=84633, esperado=321212
Discrepância encontrada no índice 433: calculado=317198, esperado=197949
Discrepância encontrada no índice 434: calculado=398989, esperado=291369
Discrepância encontrada no índice 435: calculado=399571, esperado=327950
Discrepância encontrada no índice 436: calculado=399248, esperado=345536
Discrepância encontrada no índice 437: calculado=84633, esperado=321212
Discrepância encontrada no índice 438: calculado=317198, esperado=197949
Discrepância encontrada no índice 439: calculado=398989, esperado=291369
Discrepância encontrada no índice 440: calculado=399571, esperado=327950
Discrepância encontrada no índice 441: calculado=399248, esperado=345536
Discrepância encontrada no índice 442: calculado=84633, esperado=321212
Discrepância encontrada no índice 443: calculado=317198, esperado=197949
Discrepância encontrada no índice 444: calculado=398989, esperado=291369
Discrepância encontrada no índice 445: calculado=399571, esperado=327950
Discrepância encontrada no índice 446: calculado=399248, esperado=345536
Discrepância encontrada no índice 447: calculado=84633, esperado=321212
Discrepância encontrada no índice 448: calculado=317198, esperado=197949
Discrepância encontrada no índice 449: calculado=398989, esperado=291369
Discrepância encontrada no índice 450: calculado=399571, esperado=327950
Discrepância encontrada no índice 451: calculado=399248, esperado=345536
Discrepância encontrada no índice 452: calculado=84633, esperado=321212
Discrepância encontrada no índice 453: calculado=317198, esperado=197949
Discrepância encontrada no índice 454: calculado=398989, esperado=291369
Discrepância encontrada no índice 455: calculado=399571, esperado=327950
Discrepância encontrada no índice 456: calculado=399248, esperado=345536
Discrepância encontrada no índice 457: calculado=84633, esperado=321212
Discrepância encontrada no índice 458: calculado=317198, esperado=197949
Discrepância encontrada no índice 459: calculado=398989, esperado=291369
Discrepância encontrada no índice 460: calculado=399571, esperado=327950
Discrepância encontrada no índice 461: calculado=399248, esperado=345536
Discrepância encontrada no índice 462: calculado=84633, esperado=321212
Discrepância encontrada no índice 463: calculado=317198, esperado=197949
Discrepância encontrada no índice 464: calculado=398989, esperado=291369
Discrepância encontrada no índice 465: calculado=399571, esperado=327950
Discrepância encontrada no índice 466: calculado=399248, esperado=345536
Discrepância encontrada no índice 467: calculado=84633, esperado=321212
Discrepância encontrada no índice 468: calculado=317198, esperado=197949
Discrepância encontrada no índice 469: calculado=398989, esperado=291369
Discrepância encontrada no índice 470: calculado=399571, esperado=327950
Discrepância encontrada no índice 471: calculado=399248, esperado=345536
Discrepância encontrada no índice 472: calculado=84633, esperado=321212
Discrepância encontrada no índice 473: calculado=317198, esperado=197949
Discrepância encontrada no índice 474: calculado=398989, esperado=291369
Discrepância encontrada no índice 475: calculado=399571, esperado=327950
Discrepância encontrada no índice 476: calculado=399248, esperado=345536
Discrepância encontrada no índice 477: calculado=84633, esperado=321212
Discrepância encontrada no índice 478: calculado=317198, esperado=197949
